ablation,task,budget,seed,aubc,consumed_budget,total_budget,hv_final,pareto_size,n_calls,run_dir,sample_count,valid_count,null_score_count,recorded_null_rate,valid_yield_per_100_calls,generation_attempts,non_generation_calls,unregistered_generation_count,invalid_null_proxy_rate
no_ph,bi_tsp,50,2025,13791.40393101823,50.0,50.0,15161.216414067892,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B50/seed2025/20260623_145538_BITSPEvaluation_BMAB-no_ph,10,10,0,0.0,20.0,44,6,34,0.7727272727272727
no_ph,bi_tsp,50,2026,13217.280349594019,50.0,50.0,15195.477013491003,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B50/seed2026/20260623_150333_BITSPEvaluation_BMAB-no_ph,11,11,0,0.0,22.0,44,6,33,0.75
no_ph,bi_tsp,50,2027,13056.922899682726,50.0,50.0,14819.342169145362,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B50/seed2027/20260623_151049_BITSPEvaluation_BMAB-no_ph,10,10,0,0.0,20.0,44,6,34,0.7727272727272727
no_ph,bi_tsp,50,2028,13330.87175514358,50.0,50.0,14978.507590048968,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B50/seed2028/20260623_151759_BITSPEvaluation_BMAB-no_ph,9,9,0,0.0,18.0,44,6,35,0.7954545454545454
no_ph,bi_tsp,50,2029,14121.041388052667,50.0,50.0,15044.820797791497,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B50/seed2029/20260623_152629_BITSPEvaluation_BMAB-no_ph,10,10,0,0.0,20.0,43,7,33,0.7674418604651163
no_ph,tri_tsp,100,2025,173162.07768761882,100.0,100.0,207379.73375762737,10,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B100/seed2025/20260624_041622_TRITSPEvaluation_BMAB-no_ph,15,15,0,0.0,15.0,94,6,79,0.8404255319148937
no_ph,tri_tsp,100,2026,186084.49019520744,100.0,100.0,207915.63150302507,10,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B100/seed2026/20260624_044922_TRITSPEvaluation_BMAB-no_ph,12,12,0,0.0,12.0,92,8,80,0.8695652173913043
no_ph,tri_tsp,100,2027,187332.1220915951,100.0,100.0,208146.80232399455,10,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B100/seed2027/20260624_052159_TRITSPEvaluation_BMAB-no_ph,12,12,0,0.0,12.0,92,8,80,0.8695652173913043
no_ph,tri_tsp,100,2028,165872.34523085522,100.0,100.0,207342.06732288655,10,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B100/seed2028/20260624_055119_TRITSPEvaluation_BMAB-no_ph,11,11,0,0.0,11.0,94,6,83,0.8829787234042553
no_ph,tri_tsp,100,2029,181518.9159533336,100.0,100.0,207450.18966095272,10,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B100/seed2029/20260624_062157_TRITSPEvaluation_BMAB-no_ph,11,11,0,0.0,11.0,93,7,82,0.8817204301075269
