method,task,budget,metric,value,rank,normalized_score,is_best,is_top2
hybrid_reward,bi_cvrp,200,valid_yield_per_100_calls,11.0,2.0,94.01709401709402,False,True
full,bi_cvrp,200,invalid_null_proxy_rate,0.9013622177577297,4.0,0.0,False,False
mpage_orig,bi_cvrp,200,invalid_null_proxy_rate,0.4825174825174825,1.0,100.0,True,True
dense_reward,bi_cvrp,200,invalid_null_proxy_rate,0.8737343795408311,2.0,6.596200427600323,False,True
hybrid_reward,bi_cvrp,200,invalid_null_proxy_rate,0.880855260337016,3.0,4.896076205649582,False,False
full,bi_kp,25,aubc,23304.445221531994,1.0,100.0,True,True
mpage_orig,bi_kp,25,aubc,16217.363708114684,4.0,69.58914298947033,False,False
dense_reward,bi_kp,25,aubc,21282.173094177462,2.0,91.32237601826253,False,True
hybrid_reward,bi_kp,25,aubc,20438.423987685805,3.0,87.70182595379637,False,False
full,bi_kp,25,hv_final,28805.20819393613,2.0,88.84661595930264,False,True
mpage_orig,bi_kp,25,hv_final,24123.138004274635,4.0,74.40526600499386,False,False
dense_reward,bi_kp,25,hv_final,25691.868129885424,3.0,79.24384804458735,False,False
hybrid_reward,bi_kp,25,hv_final,32421.27782011499,1.0,100.0,True,True
full,bi_kp,25,valid_yield_per_100_calls,19.2,2.5,92.3076923076923,False,False
mpage_orig,bi_kp,25,valid_yield_per_100_calls,19.2,2.5,92.3076923076923,False,False
dense_reward,bi_kp,25,valid_yield_per_100_calls,18.4,4.0,88.46153846153845,False,False
hybrid_reward,bi_kp,25,valid_yield_per_100_calls,20.8,1.0,100.0,True,True
full,bi_kp,25,invalid_null_proxy_rate,0.7740259740259741,3.0,3.302822219242469,False,False
mpage_orig,bi_kp,25,invalid_null_proxy_rate,0.3938034188034188,1.0,100.0,True,True
dense_reward,bi_kp,25,invalid_null_proxy_rate,0.787012987012987,4.0,0.0,False,False
hybrid_reward,bi_kp,25,invalid_null_proxy_rate,0.7523809523809524,2.0,8.807525917979927,False,True
full,bi_kp,50,aubc,30595.081045775918,1.0,100.0,True,True
mpage_orig,bi_kp,50,aubc,21096.101819160813,4.0,68.95259335184349,False,False
dense_reward,bi_kp,50,aubc,21848.830997764715,3.0,71.4128881210506,False,False
hybrid_reward,bi_kp,50,aubc,29929.44005847047,2.0,97.82435292029615,False,True
full,bi_kp,50,hv_final,35331.15958226822,1.0,100.0,True,True
mpage_orig,bi_kp,50,hv_final,29638.702837502242,4.0,83.88828215074244,False,False
dense_reward,bi_kp,50,hv_final,31289.757903042337,3.0,88.56136700009655,False,False
hybrid_reward,bi_kp,50,hv_final,33636.20308588799,2.0,95.20265817363412,False,True
full,bi_kp,50,valid_yield_per_100_calls,14.8,4.0,84.09090909090908,False,False
mpage_orig,bi_kp,50,valid_yield_per_100_calls,15.6,2.0,88.63636363636363,False,True
dense_reward,bi_kp,50,valid_yield_per_100_calls,15.2,3.0,86.36363636363636,False,False
hybrid_reward,bi_kp,50,valid_yield_per_100_calls,17.6,1.0,100.0,True,True
full,bi_kp,50,invalid_null_proxy_rate,0.8334343434343434,4.0,0.0,False,False
mpage_orig,bi_kp,50,invalid_null_proxy_rate,0.33497326203208555,1.0,100.0,True,True
dense_reward,bi_kp,50,invalid_null_proxy_rate,0.832463768115942,3.0,0.19471436278856363,False,False
hybrid_reward,bi_kp,50,invalid_null_proxy_rate,0.8007070707070707,2.0,6.565662585974655,False,True
full,bi_kp,100,aubc,28990.40519447092,2.0,96.22255336383478,False,True
mpage_orig,bi_kp,100,aubc,23046.10236914911,4.0,76.49271544044454,False,False
dense_reward,bi_kp,100,aubc,30128.492937464445,1.0,100.0,True,True
hybrid_reward,bi_kp,100,aubc,25640.466835700976,3.0,85.10371524032435,False,False
full,bi_kp,100,hv_final,35728.23221904697,3.0,96.99638439219711,False,False
mpage_orig,bi_kp,100,hv_final,27239.85876808512,4.0,73.95182038840944,False,False
dense_reward,bi_kp,100,hv_final,36834.60207607608,1.0,100.0,True,True
hybrid_reward,bi_kp,100,hv_final,36362.97761921861,2.0,98.71961571382418,False,True
full,bi_kp,100,valid_yield_per_100_calls,13.8,3.0,95.83333333333334,False,False
mpage_orig,bi_kp,100,valid_yield_per_100_calls,11.6,4.0,80.55555555555554,False,False
dense_reward,bi_kp,100,valid_yield_per_100_calls,14.200000000000001,2.0,98.61111111111111,False,True
hybrid_reward,bi_kp,100,valid_yield_per_100_calls,14.4,1.0,100.0,True,True
full,bi_kp,100,invalid_null_proxy_rate,0.8479609279609279,4.0,0.0,False,False
mpage_orig,bi_kp,100,invalid_null_proxy_rate,0.2976942501942502,1.0,100.0,True,True
dense_reward,bi_kp,100,invalid_null_proxy_rate,0.842979242979243,3.0,0.9053219435172231,False,False
hybrid_reward,bi_kp,100,invalid_null_proxy_rate,0.8408058608058608,2.0,1.300290830639931,False,True
full,bi_kp,200,aubc,24189.08308982593,4.0,71.82916628941308,False,False
mpage_orig,bi_kp,200,aubc,25270.78269230578,3.0,75.04125913035244,False,False
dense_reward,bi_kp,200,aubc,32395.173397402956,2.0,96.19704427387508,False,True
hybrid_reward,bi_kp,200,aubc,33675.85110533458,1.0,100.0,True,True
full,bi_kp,200,hv_final,30175.451630595526,3.0,80.87081568683038,False,False
mpage_orig,bi_kp,200,hv_final,29974.808299924745,4.0,80.33308753574559,False,False
dense_reward,bi_kp,200,hv_final,36641.44414332875,2.0,98.19980532818124,False,True
hybrid_reward,bi_kp,200,hv_final,37313.153545339504,1.0,100.0,True,True
full,bi_kp,200,valid_yield_per_100_calls,10.8,3.0,85.03937007874018,False,False
mpage_orig,bi_kp,200,valid_yield_per_100_calls,8.8,4.0,69.29133858267717,False,False
dense_reward,bi_kp,200,valid_yield_per_100_calls,12.0,2.0,94.48818897637796,False,True
hybrid_reward,bi_kp,200,valid_yield_per_100_calls,12.7,1.0,100.0,True,True
full,bi_kp,200,invalid_null_proxy_rate,0.8822760750772155,4.0,0.0,False,False
mpage_orig,bi_kp,200,invalid_null_proxy_rate,0.4357117553124813,1.0,100.0,True,True
dense_reward,bi_kp,200,invalid_null_proxy_rate,0.8692385364694701,3.0,2.919520891103437,False,False
hybrid_reward,bi_kp,200,invalid_null_proxy_rate,0.8616595390829176,2.0,4.616700233722082,False,True
