ablation,task,budget,seed,aubc,hv_final,pareto_size,consumed_budget,total_budget,n_calls,run_dir
mpage_orig,bi_cvrp,100,2025,11642.578790938058,18191.529360840734,8,100.0,100.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B100/seed2025/20260526_151907_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,100,2026,14425.472892086445,19233.963856115297,8,100.0,100.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B100/seed2026/20260526_154806_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,100,2027,11431.475469254196,18740.123720088854,8,100.0,100.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B100/seed2027/20260526_161425_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,100,2028,10992.309800024233,15267.09694447809,8,100.0,100.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B100/seed2028/20260526_164006_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,100,2029,12566.853593294867,19333.62091276133,8,100.0,100.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B100/seed2029/20260526_170422_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,200,2025,11322.390316398576,17691.23486937278,10,200.0,200.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B200/seed2025/20260526_173514_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,200,2026,15099.611159057948,19235.173451029237,10,200.0,200.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B200/seed2026/20260526_183211_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,200,2027,15985.820277892295,18942.030775127965,10,200.0,200.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B200/seed2027/20260526_191542_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,200,2028,11543.8246410658,15189.2429487708,10,200.0,200.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B200/seed2028/20260526_200049_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,200,2029,12745.284632697832,14994.45250905624,10,200.0,200.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B200/seed2029/20260526_205018_BICVRPEvaluation_MPaGE-orig
