comparator,task,budget,metric,n_seeds,full_mean,comparator_mean,delta_mean,delta_std,delta_pct_from_means,paired_delta_pct_mean,wins,ties,losses,p_value
hybrid_reward,tri_tsp,25,hv_final,5,206791.18680863173,207125.3131682829,-334.12635965122024,758.1021018504802,-0.16131604319155057,-0.1615998399340235,3,0,2,0.8125
hybrid_reward,tri_tsp,50,aubc,5,160956.92304160612,163796.40691106714,-2839.4838694610517,8896.884426420502,-1.7335446625533768,-1.6441087595348236,2,0,3,0.625
hybrid_reward,tri_tsp,50,hv_final,5,207540.11827129213,207355.06354443633,185.0547268557828,983.6995793301807,0.08924533777596722,0.08971964864648463,2,0,3,0.8125
hybrid_reward,tri_tsp,100,aubc,5,179784.92002361311,178121.47594126879,1663.4440823443467,9324.084786010582,0.9338818205687938,0.9667886313950479,3,0,2,0.8125
hybrid_reward,tri_tsp,100,hv_final,5,207927.8098565409,207129.03714779127,798.7727087495965,1057.310457788556,0.3856401399576326,0.38668278206647644,4,0,1,0.125
hybrid_reward,tri_tsp,200,aubc,5,188432.1466497327,189323.28872246467,-891.142072731955,6839.022976332687,-0.4706986017120829,-0.42068249198272467,2,0,3,1.0
hybrid_reward,tri_tsp,200,hv_final,5,207635.00967666012,207180.51067633205,454.4990003280691,910.4213688654772,0.21937343374835994,0.22033517429631777,2,0,3,0.8125
hybrid_reward,bi_cvrp,25,aubc,5,13399.39245809876,11064.221752155961,2335.1707059427995,5918.510987524163,21.10560289057628,31.357292778390693,4,0,1,0.625
hybrid_reward,bi_cvrp,25,hv_final,5,18864.473998623725,16242.72978357987,2621.7442150438574,3376.5261122982947,16.1410320184864,17.445176580097865,4,0,1,0.125
hybrid_reward,bi_cvrp,50,aubc,5,13893.797438292266,13441.505205409292,452.2922328829751,1560.2708268855927,3.3648927405909523,4.136645554501021,3,0,2,0.625
hybrid_reward,bi_cvrp,50,hv_final,5,17669.63358871531,16915.914943364813,753.7186453504986,1041.659883335323,4.455677673208802,4.469469249658337,4,0,1,0.1875
hybrid_reward,bi_cvrp,100,aubc,5,14713.25354804101,15970.634878756644,-1257.381330715638,2496.9624292048925,-7.8730829441736265,-6.485735940040939,2,0,3,0.4375
hybrid_reward,bi_cvrp,100,hv_final,5,18874.829633509045,18704.26696851795,170.56266499109262,672.4918450767213,0.9118917372072266,1.0029247033654687,2,0,3,0.8125
hybrid_reward,bi_cvrp,200,aubc,5,15707.164092901405,16785.891789655154,-1078.7276967537514,1781.6957632496408,-6.42639491706094,-5.83825140119494,3,0,2,0.8125
hybrid_reward,bi_cvrp,200,hv_final,5,19571.232765715155,18525.467753954224,1045.7650117609276,3140.737986121278,5.645012723296627,5.973571806102186,3,0,2,0.625
hybrid_reward,bi_kp,25,aubc,5,23304.445221531994,20438.423987685805,2866.0212338461897,9928.931284512872,14.022711514219367,13.418866024303217,4,0,1,0.4375
hybrid_reward,bi_kp,25,hv_final,5,28805.20819393613,32421.27782011499,-3616.069626178857,12845.154942424395,-11.153384040697356,-8.163875567209402,3,0,2,1.0
hybrid_reward,bi_kp,50,aubc,5,30595.081045775918,29929.44005847047,665.6409873054457,4581.4859004623195,2.224034215157533,3.418168013500342,3,0,2,1.0
hybrid_reward,bi_kp,50,hv_final,5,35331.15958226822,33636.20308588799,1694.9564963802288,4304.90094171538,5.039083906266906,6.064311472431598,3,0,2,0.4375
hybrid_reward,bi_kp,100,aubc,5,28990.40519447092,25640.466835700972,3349.938358769944,15151.579898012475,13.065044331040031,70.09925541706329,4,0,1,0.4375
hybrid_reward,bi_kp,100,hv_final,5,35728.23221904697,36362.97761921861,-634.7454001716382,5147.840202278732,-1.7455814725033991,-1.0576944398195853,2,0,3,1.0
hybrid_reward,bi_kp,200,aubc,5,24189.083089825926,33675.85110533459,-9486.768015508651,9031.36419284789,-28.17083371058694,-28.309010402801373,1,0,4,0.125
hybrid_reward,bi_kp,200,hv_final,5,30175.451630595526,37313.153545339504,-7137.701914743979,9536.015302639506,-19.129184313169624,-19.06338067686532,1,0,4,0.3125
