comparator,task,budget,seed,metric,full,comparator_value,delta,delta_pct
full_old,bi_kp,100,2026,aubc,36003.19584744661,25707.337916552267,10295.85793089434,40.05026877662472
full_old,bi_kp,100,2027,aubc,33764.92344563623,34709.302450314346,-944.3790046781141,-2.720823923298299
full_old,bi_kp,100,2028,aubc,33054.50227867011,7644.3081287534,25410.194149916708,332.4067230406173
full_old,bi_kp,100,2029,aubc,15753.49169249577,33645.50103105158,-17892.009338555807,-53.17801426717704
full_old,bi_kp,100,2025,hv_final,29551.883393316413,38227.392718488256,-8675.509325171843,-22.69448347958094
full_old,bi_kp,100,2026,hv_final,40003.550941607355,28249.82188632117,11753.729055286185,41.606382874142845
full_old,bi_kp,100,2027,hv_final,37517.056269632165,38565.89161146038,-1048.8353418282131,-2.719593137881815
full_old,bi_kp,100,2028,hv_final,36727.224754077884,8219.686159949893,28507.53859412799,346.82028047530434
full_old,bi_kp,100,2029,hv_final,34841.445736601054,36373.51462816387,-1532.0688915628198,-4.2120452401279485
full_old,bi_kp,200,2025,aubc,16042.749254853217,30604.628744954316,-14561.879490101099,-47.580644128878276
full_old,bi_kp,200,2026,aubc,18023.10944601504,28728.467589165168,-10705.358143150126,-37.263937277279666
full_old,bi_kp,200,2027,aubc,31455.638299498092,37607.96231315469,-6152.324013656598,-16.359099603502337
full_old,bi_kp,200,2028,aubc,18668.551453004176,35798.30895980646,-17129.757506802285,-47.85074492215594
full_old,bi_kp,200,2029,aubc,36755.36699575912,15478.143022368993,21277.223973390126,137.46625769409357
full_old,bi_kp,200,2025,hv_final,16931.661482694693,32972.121647564636,-16040.460164869943,-48.64855327274553
full_old,bi_kp,200,2026,hv_final,23789.178926416105,31730.827940062976,-7941.649013646871,-25.02818088657509
full_old,bi_kp,200,2027,hv_final,37673.70547047862,39615.24668364136,-1941.5412131627381,-4.90099488378164
full_old,bi_kp,200,2028,hv_final,32820.136617507604,38009.257360188305,-5189.120742680701,-13.65225501121181
full_old,bi_kp,200,2029,hv_final,39662.5756558806,16292.810971670842,23369.76468420976,143.43605118137063
mpage_orig,bi_tsp,25,2025,aubc,13024.238918151717,11175.53464447517,1848.704273676547,16.542423539356022
mpage_orig,bi_tsp,25,2026,aubc,13123.326645104798,11806.98632579211,1316.3403193126887,11.148825644332039
mpage_orig,bi_tsp,25,2027,aubc,11833.354468949772,6654.8555788539825,5178.49889009579,77.81534593403705
mpage_orig,bi_tsp,25,2028,aubc,12385.274436273967,10248.946206588858,2136.3282296851085,20.844369622232016
mpage_orig,bi_tsp,25,2029,aubc,11775.518020234107,9323.334609582285,2452.1834106518218,26.301570342992207
mpage_orig,bi_tsp,25,2025,hv_final,14536.88709305557,14704.650847993646,-167.7637549380761,-1.1408890742956035
mpage_orig,bi_tsp,25,2026,hv_final,15263.779217934301,15542.631497863178,-278.85227992887667,-1.7941124060440683
mpage_orig,bi_tsp,25,2027,hv_final,14273.1958389995,13864.282455945797,408.913383053703,2.9494017043654397
mpage_orig,bi_tsp,25,2028,hv_final,14413.461889953944,15071.979715571846,-658.5178256179024,-4.369152812337884
mpage_orig,bi_tsp,25,2029,hv_final,15100.280207372994,14570.606657378674,529.6735499943206,3.635219606495177
mpage_orig,bi_tsp,50,2025,aubc,12834.430162921422,11139.2267463209,1695.2034166005233,15.218322197817024
mpage_orig,bi_tsp,50,2026,aubc,12789.328508037073,12329.684131794202,459.64437624287166,3.727949324002555
mpage_orig,bi_tsp,50,2027,aubc,12810.097187996642,10337.05923175995,2473.0379562366925,23.923999087075387
mpage_orig,bi_tsp,50,2028,aubc,13113.357908658963,12485.320691468147,628.0372171908166,5.030204931940485
mpage_orig,bi_tsp,50,2029,aubc,13110.536483267988,12746.473359704336,364.06312356365197,2.8561870667267897
mpage_orig,bi_tsp,50,2025,hv_final,15101.115225139625,15053.009116649873,48.10610848975193,0.3195780200288434
mpage_orig,bi_tsp,50,2026,hv_final,14695.422101762046,15042.920863118195,-347.49876135614977,-2.3100484574650526
mpage_orig,bi_tsp,50,2027,hv_final,14280.921487786007,14767.22747394278,-486.30598615677263,-3.293143462541459
mpage_orig,bi_tsp,50,2028,hv_final,14904.401318350609,14517.8147575211,386.586560829508,2.6628426335942423
mpage_orig,bi_tsp,50,2029,hv_final,15069.90423488014,15176.232657821538,-106.32842294139846,-0.7006246236387237
mpage_orig,bi_tsp,100,2025,aubc,13918.09759149614,13360.084874993374,558.0127165027661,4.176715355657823
