ablation,task,budget,seed,total_budget,sample_count,valid_count,null_score_count,recorded_null_rate,valid_yield_per_budget,generation_attempts,non_generation_calls,unregistered_generation_count,invalid_null_proxy_rate,run_dir
full,bi_cvrp,50,2025,50.0,8,8,0,0.0,0.16,46,4,38,0.8260869565217391,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B50/seed2025/20260524_134234_BICVRPEvaluation_BMAB-full
full,bi_cvrp,50,2026,50.0,7,7,0,0.0,0.14,46,4,39,0.8478260869565217,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B50/seed2026/20260524_140720_BICVRPEvaluation_BMAB-full
full,bi_cvrp,50,2027,50.0,7,7,0,0.0,0.14,46,4,39,0.8478260869565217,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B50/seed2027/20260524_142659_BICVRPEvaluation_BMAB-full
full,bi_cvrp,50,2028,50.0,8,8,0,0.0,0.16,46,4,38,0.8260869565217391,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B50/seed2028/20260524_144333_BICVRPEvaluation_BMAB-full
full,bi_cvrp,50,2029,50.0,6,6,0,0.0,0.12,46,4,40,0.8695652173913043,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B50/seed2029/20260524_150304_BICVRPEvaluation_BMAB-full
full,bi_kp,100,2025,100.0,18,18,0,0.0,0.18,90,10,72,0.8,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B100/seed2025/20260525_024659_BIKPEvaluation_BMAB-full
full,bi_kp,100,2026,100.0,12,12,0,0.0,0.12,90,10,78,0.8666666666666667,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B100/seed2026/20260525_031126_BIKPEvaluation_BMAB-full
full,bi_kp,100,2027,100.0,11,11,0,0.0,0.11,91,9,80,0.8791208791208791,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B100/seed2027/20260525_033820_BIKPEvaluation_BMAB-full
full,bi_kp,100,2028,100.0,15,15,0,0.0,0.15,90,10,75,0.8333333333333334,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B100/seed2028/20260525_040204_BIKPEvaluation_BMAB-full
full,bi_kp,100,2029,100.0,15,15,0,0.0,0.15,90,10,75,0.8333333333333334,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B100/seed2029/20260525_042614_BIKPEvaluation_BMAB-full
full,bi_kp,200,2025,200.0,26,26,0,0.0,0.13,184,16,158,0.8586956521739131,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B200/seed2025/20260525_045401_BIKPEvaluation_BMAB-full
full,bi_kp,200,2026,200.0,20,20,0,0.0,0.1,184,16,164,0.8913043478260869,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B200/seed2026/20260525_054652_BIKPEvaluation_BMAB-full
full,bi_kp,200,2027,200.0,37,37,0,0.0,0.185,183,17,146,0.7978142076502732,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B200/seed2027/20260525_064128_BIKPEvaluation_BMAB-full
full,bi_kp,200,2028,200.0,24,24,0,0.0,0.12,183,17,159,0.8688524590163934,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B200/seed2028/20260525_074442_BIKPEvaluation_BMAB-full
full,bi_kp,200,2029,200.0,28,28,0,0.0,0.14,183,17,155,0.8469945355191257,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B200/seed2029/20260525_225904_BIKPEvaluation_BMAB-full
